hit_id	worker_id	worktime_s	item_id	wav	transcription
3087LXLJ6ME8ZLA90P809HXOM4QF09	b15611f064144daeb3cb1a3ceb868adf	23	band_aid_4_1	band_aid_4_1_2	it's a product
3087LXLJ6ME8ZLA90P809HXOM4QF09	ad0de5a20c5a4ff0b1f76ffd122b72a4	222	band_aid_4_1	band_aid_4_1_3	a box of Band-Aids is kept on the table
3087LXLJ6ME8ZLA90P809HXOM4QF09	3375299d28ab42378e622ad3e878024c	13	band_aid_4_1	band_aid_4_1_4	it is a box of Band-Aids
3087LXLJ6ME8ZLA90P809HXOM4QF09	f7f943886c4a4ad999a9148b3ce94caa	14	band_aid_4_1	band_aid_4_1_5	this isn't bandage
309D674SHZJ2GWT973FOLS84GVVCBH	7aa6b9b8c0cc45a885142269f43f1742	19	screwdriver_1_4	screwdriver_1_4_1	there is a red and black screwdriver
309D674SHZJ2GWT973FOLS84GVVCBH	f657620fa4b94be89dfc300b94203233	13	screwdriver_1_4	screwdriver_1_4_2	it is a red and black screwdriver
309D674SHZJ2GWT973FOLS84GVVCBH	204bcfb7d5ce4406bcc2eb918a07fbd2	336	screwdriver_1_4	screwdriver_1_4_3	DC School driver Deuces for schooling school
309D674SHZJ2GWT973FOLS84GVVCBH	47317d553db3431e9fe128afa5b849d9	21	screwdriver_1_4	screwdriver_1_4_4	Robertson screwdriver with a red and black handle
309D674SHZJ2GWT973FOLS84GVVCBH	107d1f48cc874db3be5c2b109b8e7f74	11	screwdriver_1_4	screwdriver_1_4_5	a black and red handled flat head screws
30EMX9PEVKHJGGMZA2IHZ0VCPSQKS3	cd85b00cc9cb4618ad00bac7d459f9e3	210	allen_wrench_5_3	allen_wrench_5_3_1	it's an allen wrench kit the index holder is yellow
30EMX9PEVKHJGGMZA2IHZ0VCPSQKS3	b15611f064144daeb3cb1a3ceb868adf	18	allen_wrench_5_3	allen_wrench_5_3_2	it's a tool
30EMX9PEVKHJGGMZA2IHZ0VCPSQKS3	107d1f48cc874db3be5c2b109b8e7f74	9	allen_wrench_5_3	allen_wrench_5_3_3	pack of Allen wrenches
30EMX9PEVKHJGGMZA2IHZ0VCPSQKS3	776646d756a04492a7e7fdb3c813f918	21	allen_wrench_5_3	allen_wrench_5_3_4	a set of Allen wrenches
30EMX9PEVKHJGGMZA2IHZ0VCPSQKS3	3375299d28ab42378e622ad3e878024c	19	allen_wrench_5_3	allen_wrench_5_3_5	it is a set of many different sizes of Allen wrenches
30EMX9PEVKHJGGMZA2IHZ0VCPSQSKB	107d1f48cc874db3be5c2b109b8e7f74	9	toothpaste_2_1	toothpaste_2_1_1	Colgate Total box
30EMX9PEVKHJGGMZA2IHZ0VCPSQSKB	776646d756a04492a7e7fdb3c813f918	12	toothpaste_2_1	toothpaste_2_1_2	a box of Colgate Total toothpaste
30EMX9PEVKHJGGMZA2IHZ0VCPSQSKB	f7f943886c4a4ad999a9148b3ce94caa	13	toothpaste_2_1	toothpaste_2_1_3	business accounting
30EMX9PEVKHJGGMZA2IHZ0VCPSQSKB	3d10f55326ce454199f1d1a2ea4e8453	9	toothpaste_2_1	toothpaste_2_1_4	this is a box of Colgate Total toothpaste
30EMX9PEVKHJGGMZA2IHZ0VCPSQSKB	f510b8bd8b824efa8706a59d484c13fd	667	toothpaste_2_1	toothpaste_2_1_5	that is toothpaste Colgate Total toothpaste
30IRMPJWDZH7F1MMVDIC9QQG3Q7KRF	776646d756a04492a7e7fdb3c813f918	17	allen_wrench_3_4	allen_wrench_3_4_1	an allen wrench
30IRMPJWDZH7F1MMVDIC9QQG3Q7KRF	107d1f48cc874db3be5c2b109b8e7f74	9	allen_wrench_3_4	allen_wrench_3_4_2	a large allen wrench
30IRMPJWDZH7F1MMVDIC9QQG3Q7KRF	3d10f55326ce454199f1d1a2ea4e8453	8	allen_wrench_3_4	allen_wrench_3_4_3	this is a black tightening tool
30IRMPJWDZH7F1MMVDIC9QQG3Q7KRF	b15611f064144daeb3cb1a3ceb868adf	15	allen_wrench_3_4	allen_wrench_3_4_4	instatool
30IRMPJWDZH7F1MMVDIC9QQG3Q7KRF	c1118cb72f084669bc494b653408e84f	94	allen_wrench_3_4	allen_wrench_3_4_5	this is a little larger version of the previous tool that I described that you get when you order something and it requires like assembling and this might be a for car cuz it looks a little bit larger than the previous one
30IRMPJWDZH7F1MMVDIC9QQG3Q7RKM	3375299d28ab42378e622ad3e878024c	23	measuring_tape_3_2	measuring_tape_3_2_1	it is a measuring tape with pink and black
30IRMPJWDZH7F1MMVDIC9QQG3Q7RKM	47317d553db3431e9fe128afa5b849d9	43	measuring_tape_3_2	measuring_tape_3_2_2	the object I'm looking at is mostly black with some purple Parts on it it's circular shaved has some kind of rough ridges towards the end which makes me think it's perhaps like a tape dispenser or a tape measure or something of the sort
30IRMPJWDZH7F1MMVDIC9QQG3Q7RKM	074ed05e84c74e438a7417794d58879f	17	measuring_tape_3_2	measuring_tape_3_2_3	a tape measure it's mostly black but it has pink highlights in the center on one side is a brand to Black sticker with pink lettering
30IRMPJWDZH7F1MMVDIC9QQG3Q7RKM	107d1f48cc874db3be5c2b109b8e7f74	11	measuring_tape_3_2	measuring_tape_3_2_4	black and pink tape measure
30IRMPJWDZH7F1MMVDIC9QQG3Q7RKM	776646d756a04492a7e7fdb3c813f918	15	measuring_tape_3_2	measuring_tape_3_2_5	a black and pink tape measure
30U1YOGZGAUB2AGPILWUVN0M5JTSDY	f7f943886c4a4ad999a9148b3ce94caa	12	bowl_2_3	bowl_2_3_1	this is a blue colored bowel
30U1YOGZGAUB2AGPILWUVN0M5JTSDY	107d1f48cc874db3be5c2b109b8e7f74	9	bowl_2_3	bowl_2_3_2	and blue ceramic Bowl
30U1YOGZGAUB2AGPILWUVN0M5JTSDY	47823a67c3b04caaa3730345c80b02f9	548	bowl_2_3	bowl_2_3_3	it's an Blue Boy
30U1YOGZGAUB2AGPILWUVN0M5JTSDY	bdced0151ac442bdbf837191a77f8e8b	140	bowl_2_3	bowl_2_3_4	can you put on.
30U1YOGZGAUB2AGPILWUVN0M5JTSDY	204bcfb7d5ce4406bcc2eb918a07fbd2	303	bowl_2_3	bowl_2_3_5	if they say about his color is blue
3126F2F5F81JHOEXMZ3K60DWIBNPE8	107d1f48cc874db3be5c2b109b8e7f74	53	notebook_2_2	notebook_2_2_1	a black notebook laying down
3126F2F5F81JHOEXMZ3K60DWIBNPE8	f510b8bd8b824efa8706a59d484c13fd	730	notebook_2_2	notebook_2_2_2	that looks like a journal people usually write their thoughts and feelings and those
3126F2F5F81JHOEXMZ3K60DWIBNPE8	47317d553db3431e9fe128afa5b849d9	47	notebook_2_2	notebook_2_2_3	the object appears to be a hardcover black notebook like a Moleskine type think I can see string part that keeps the elastic band that closes it I'd say it's medium size it's kind of thin it could also be like a journal cover or like a Nook cover
3126F2F5F81JHOEXMZ3K60DWIBNPE8	776646d756a04492a7e7fdb3c813f918	13	notebook_2_2	notebook_2_2_4	black notebook with a black strap keeping it closed
3126F2F5F81JHOEXMZ3K60DWIBNPE8	f7f943886c4a4ad999a9148b3ce94caa	24	notebook_2_2	notebook_2_2_5	this is a book you spell writing
31GN6YMHLPQABGGGZG1KNBP7CZZSW7	47317d553db3431e9fe128afa5b849d9	24	banana_5_4	banana_5_4_1	object is a super ripe single banana
31GN6YMHLPQABGGGZG1KNBP7CZZSW7	107d1f48cc874db3be5c2b109b8e7f74	12	banana_5_4	banana_5_4_2	and banana
31GN6YMHLPQABGGGZG1KNBP7CZZSW7	f657620fa4b94be89dfc300b94203233	10	banana_5_4	banana_5_4_3	it is a ripe banana
31GN6YMHLPQABGGGZG1KNBP7CZZSW7	2fa8c4a0b8d945a1a32ca683a30f8430	12	banana_5_4	banana_5_4_4	this is a ripe banana
31GN6YMHLPQABGGGZG1KNBP7CZZSW7	3d10f55326ce454199f1d1a2ea4e8453	9	banana_5_4	banana_5_4_5	this is a banana it is yellow
31J7RYECZLOU625NIJFYIZLIOSIL1N	3375299d28ab42378e622ad3e878024c	20	flashlight_1_1	flashlight_1_1_1	it is a flashlight it is silver and has a strap as a handle
31J7RYECZLOU625NIJFYIZLIOSIL1N	b15611f064144daeb3cb1a3ceb868adf	16	flashlight_1_1	flashlight_1_1_2	it's a small charge
31J7RYECZLOU625NIJFYIZLIOSIL1N	3d10f55326ce454199f1d1a2ea4e8453	9	flashlight_1_1	flashlight_1_1_3	this is a flashlight it is silver
31J7RYECZLOU625NIJFYIZLIOSIL1N	776646d756a04492a7e7fdb3c813f918	10	flashlight_1_1	flashlight_1_1_4	a silver flashlight
31J7RYECZLOU625NIJFYIZLIOSIL1N	47823a67c3b04caaa3730345c80b02f9	29	flashlight_1_1	flashlight_1_1_5	it's a flashlight
31JUPBOORN2CH2P8H4ODX98Q2YOL87	107d1f48cc874db3be5c2b109b8e7f74	11	stapler_3_1	stapler_3_1_1	a purple staple
31JUPBOORN2CH2P8H4ODX98Q2YOL87	7aa6b9b8c0cc45a885142269f43f1742	21	stapler_3_1	stapler_3_1_2	there is a small blue translucent office stapler
31JUPBOORN2CH2P8H4ODX98Q2YOL87	776646d756a04492a7e7fdb3c813f918	10	stapler_3_1	stapler_3_1_3	a purple stapler
31JUPBOORN2CH2P8H4ODX98Q2YOL87	47823a67c3b04caaa3730345c80b02f9	133	stapler_3_1	stapler_3_1_4	it's a purple stapler
31JUPBOORN2CH2P8H4ODX98Q2YOL87	3d10f55326ce454199f1d1a2ea4e8453	10	stapler_3_1	stapler_3_1_5	this is a stapler in his purple and is used to staple papers together
31MBOZ6PAOPET5FLYG4IZV49SP9CL4	204bcfb7d5ce4406bcc2eb918a07fbd2	81	gauze_2_3	gauze_2_3_1	it is a box of pads
31MBOZ6PAOPET5FLYG4IZV49SP9CL4	107d1f48cc874db3be5c2b109b8e7f74	8	gauze_2_3	gauze_2_3_2	a box of blue gods
31MBOZ6PAOPET5FLYG4IZV49SP9CL4	3d10f55326ce454199f1d1a2ea4e8453	22	gauze_2_3	gauze_2_3_3	this is a box of gauze pads the box is blue in color
31MBOZ6PAOPET5FLYG4IZV49SP9CL4	776646d756a04492a7e7fdb3c813f918	26	gauze_2_3	gauze_2_3_4	a blue green and white box of gauze pads
31MBOZ6PAOPET5FLYG4IZV49SP9CL4	3375299d28ab42378e622ad3e878024c	15	gauze_2_3	gauze_2_3_5	it is a box of gauze pads
31MCUE39BKKAUD51UWW1T0V7QVAG34	49c72c9d19f34059ab2ea00e568c7b8d	44	lightbulb_5_3	lightbulb_5_3_1	there is an LED light bulb on one end of the light bulb are threads where you can screw the lightbulb into a light bulb socket on the other end there is a it appears to be a clear flesh piece and it has little circles little circles that go around the entire light bulb from the middle section of the light bulb is white
31MCUE39BKKAUD51UWW1T0V7QVAG34	f657620fa4b94be89dfc300b94203233	12	lightbulb_5_3	lightbulb_5_3_2	it is a small spotlight
31MCUE39BKKAUD51UWW1T0V7QVAG34	f7f943886c4a4ad999a9148b3ce94caa	11	lightbulb_5_3	lightbulb_5_3_3	Addison Light YouTube can be used
31MCUE39BKKAUD51UWW1T0V7QVAG34	f510b8bd8b824efa8706a59d484c13fd	803	lightbulb_5_3	lightbulb_5_3_4	that is a white shower head
31MCUE39BKKAUD51UWW1T0V7QVAG34	107d1f48cc874db3be5c2b109b8e7f74	8	lightbulb_5_3	lightbulb_5_3_5	an LED light
31N9JPQXIPGVYDTMWLYYNE5EACENHQ	47317d553db3431e9fe128afa5b849d9	14	apple_2_1	apple_2_1_1	the object is a green apple with a white sticker on it
31N9JPQXIPGVYDTMWLYYNE5EACENHQ	24d4f6782b9f42fbbdb26b4c4e172267	27	apple_2_1	apple_2_1_2	a green Granny Smith apple with the manufacturing sticker still on it
31N9JPQXIPGVYDTMWLYYNE5EACENHQ	776646d756a04492a7e7fdb3c813f918	9	apple_2_1	apple_2_1_3	a green apple
31N9JPQXIPGVYDTMWLYYNE5EACENHQ	b15611f064144daeb3cb1a3ceb868adf	15	apple_2_1	apple_2_1_4	it's on April
31ODACBENUD5RJKUN72EVM7LOYISQ3	204bcfb7d5ce4406bcc2eb918a07fbd2	67	hammer_2_1	hammer_2_1_1	it is a hammer
31ODACBENUD5RJKUN72EVM7LOYISQ3	b15611f064144daeb3cb1a3ceb868adf	14	hammer_2_1	hammer_2_1_2	it's a hammer
31ODACBENUD5RJKUN72EVM7LOYISQ3	3d10f55326ce454199f1d1a2ea4e8453	19	hammer_2_1	hammer_2_1_3	this is a type of tool that is yellow and has a black handle
31ODACBENUD5RJKUN72EVM7LOYISQ3	f510b8bd8b824efa8706a59d484c13fd	773	hammer_2_1	hammer_2_1_4	that is a yellow and black hammer
31ODACBENUD5RJKUN72EVM7LOYISQ3	107d1f48cc874db3be5c2b109b8e7f74	9	hammer_2_1	hammer_2_1_5	yellowhammer
31SIZS5W59DTQ4KH8I295C2P2WZRQE	f510b8bd8b824efa8706a59d484c13fd	311	soda_bottle_1_1	soda_bottle_1_1_1	that is a tall bottle of dr. pepper
31SIZS5W59DTQ4KH8I295C2P2WZRQE	f7f943886c4a4ad999a9148b3ce94caa	12	soda_bottle_1_1	soda_bottle_1_1_2	this isn't black colored drink in a bottle
31SIZS5W59DTQ4KH8I295C2P2WZRQE	f657620fa4b94be89dfc300b94203233	20	soda_bottle_1_1	soda_bottle_1_1_3	it is a dr. pepper plastic bottle
31SIZS5W59DTQ4KH8I295C2P2WZRQE	776646d756a04492a7e7fdb3c813f918	24	soda_bottle_1_1	soda_bottle_1_1_4	a plastic bottle of dr. pepper
31SIZS5W59DTQ4KH8I295C2P2WZRQE	107d1f48cc874db3be5c2b109b8e7f74	12	soda_bottle_1_1	soda_bottle_1_1_5	a bottle of dr. pepper
31YWE12TE0A3HI1ELIZVU37IYNSX7I	ad0de5a20c5a4ff0b1f76ffd122b72a4	52	banana_2_4	banana_2_4_1	can you see a bunch of bananas on the table
31YWE12TE0A3HI1ELIZVU37IYNSX7I	3375299d28ab42378e622ad3e878024c	21	banana_2_4	banana_2_4_2	it is a bunch of bananas
31YWE12TE0A3HI1ELIZVU37IYNSX7I	107d1f48cc874db3be5c2b109b8e7f74	20	banana_2_4	banana_2_4_3	a bundle of bananas
31YWE12TE0A3HI1ELIZVU37IYNSX7I	f7f943886c4a4ad999a9148b3ce94caa	18	banana_2_4	banana_2_4_4	this is the number of bananas
31YWE12TE0A3HI1ELIZVU37IYNSX7I	b15611f064144daeb3cb1a3ceb868adf	17	banana_2_4	banana_2_4_5	it's banana
324N5FAHSX9Z88334XNMANFJOWKKV8	f7f943886c4a4ad999a9148b3ce94caa	30	apple_4_1	apple_4_1_1	HSN Apple
324N5FAHSX9Z88334XNMANFJOWKKV8	47317d553db3431e9fe128afa5b849d9	16	apple_4_1	apple_4_1_2	object is a red delicious apple
324N5FAHSX9Z88334XNMANFJOWKKV8	204bcfb7d5ce4406bcc2eb918a07fbd2	802	apple_4_1	apple_4_1_3	HTC a police car has red
324N5FAHSX9Z88334XNMANFJOWKKV8	107d1f48cc874db3be5c2b109b8e7f74	8	apple_4_1	apple_4_1_4	a red apple
329E6HTMSW0FWZ1KKNHGRSN0XCRK3B	776646d756a04492a7e7fdb3c813f918	11	eye_glasses_3_1	eye_glasses_3_1_1	a pair of glasses with a black frame
